method,norm,lambda,mean_acc,std_acc,vs_baseline_mixed,per_fold_accs
baseline,mixed,1.0,58.25,15.63,+0.00%,"33.17,42.28,74.43,74.03,50.36,66.31,57.36,54.91,81.16,57.01,33.53,74.43"
baseline,per_subject,1.0,71.90,7.30,+13.65%,"73.67,72.64,64.89,81.55,71.58,83.97,70.39,70.51,82.98,60.81,64.77,65.04"
coral,mixed,1.0,66.62,14.92,+8.38%,"36.22,72.84,75.65,72.41,63.70,84.20,73.44,58.27,86.22,50.55,47.31,78.66"
coral,per_subject,0.1,74.16,7.11,+15.91%,"71.97,68.05,77.24,82.94,74.58,88.48,75.73,71.30,81.67,65.64,67.66,64.65"
coral,per_subject,0.5,73.19,7.89,+14.94%,"69.00,77.87,75.06,79.02,70.67,89.31,70.70,68.69,84.92,62.43,65.87,64.77"
coral,per_subject,1.0,75.09,9.05,+16.84%,"73.48,72.92,78.07,84.84,73.08,92.52,77.83,68.17,86.90,61.92,62.59,68.76"
coral,per_subject,2.0,75.18,5.87,+16.94%,"73.56,79.85,78.27,77.67,73.59,86.78,77.83,72.57,80.56,66.90,66.55,68.09"
coral,per_subject,5.0,75.04,7.67,+16.79%,"77.75,75.42,69.87,83.10,80.96,87.17,71.89,67.42,86.86,64.73,67.18,68.09"
coral,per_subject,10.0,73.61,7.88,+15.36%,"69.99,73.36,76.52,79.26,79.30,93.23,70.55,68.13,74.70,59.54,69.20,69.56"
coral,per_subject,20.0,73.82,6.71,+15.57%,"70.98,72.21,77.51,79.93,69.60,85.39,75.10,68.29,85.23,62.59,70.43,68.61"
dann,mixed,1.0,67.92,15.34,+9.67%,"33.61,69.83,82.54,83.25,64.92,82.03,72.33,60.21,90.26,51.39,56.33,68.29"
dann,per_subject,0.1,75.45,8.08,+17.20%,"73.71,77.75,80.52,78.31,78.23,93.86,74.47,73.32,80.92,63.70,68.05,62.55"
dann,per_subject,0.5,74.43,7.10,+16.19%,"73.75,74.82,75.57,84.60,68.41,85.08,76.17,70.59,84.84,61.76,69.00,68.61"
dann,per_subject,1.0,75.12,9.71,+16.87%,"76.29,79.06,79.69,77.91,77.87,92.99,74.70,73.83,85.27,54.16,63.66,66.03"
dann,per_subject,2.0,70.79,9.53,+12.54%,"60.02,78.70,70.70,80.48,68.49,88.52,70.15,62.87,82.50,55.07,64.77,67.18"
dann,per_subject,5.0,73.35,10.71,+15.11%,"71.14,75.49,65.16,80.44,80.01,93.43,77.59,70.78,84.01,58.31,71.34,52.53"
dann,per_subject,10.0,68.47,9.92,+10.23%,"61.48,74.86,72.13,75.97,78.90,89.31,69.71,61.01,52.38,62.79,65.72,57.44"
dann,per_subject,20.0,69.93,14.62,+11.68%,"77.71,62.55,54.00,83.45,82.58,90.22,76.96,62.79,79.22,34.96,70.39,64.29"
mmd,mixed,1.0,68.64,12.86,+10.40%,"37.77,71.85,80.17,74.90,69.24,82.50,69.91,64.49,85.43,52.97,59.98,74.51"
mmd,per_subject,0.1,75.86,6.52,+17.61%,"74.58,75.57,78.42,83.33,81.31,83.61,75.85,72.41,84.84,63.97,66.59,69.83"
mmd,per_subject,0.5,75.69,7.23,+17.45%,"74.58,69.75,70.51,79.33,81.63,85.83,79.41,78.50,87.61,63.06,69.75,68.33"
mmd,per_subject,1.0,75.84,6.74,+17.59%,"75.93,74.86,75.89,78.19,79.14,88.36,74.27,68.96,87.77,64.21,71.93,70.55"
mmd,per_subject,2.0,76.19,7.47,+17.95%,"74.90,69.48,74.07,79.77,81.99,90.10,83.57,70.39,82.30,60.93,71.77,75.06"
mmd,per_subject,5.0,74.08,7.72,+15.83%,"72.45,69.99,72.96,76.88,80.40,84.84,77.16,72.88,84.32,55.19,66.51,75.34"
mmd,per_subject,10.0,74.65,9.11,+16.40%,"74.39,68.21,75.61,80.92,77.63,89.63,73.44,73.71,85.04,51.50,69.08,76.60"
mmd,per_subject,20.0,76.22,5.15,+17.97%,"76.21,74.47,77.87,80.13,79.02,86.42,71.62,75.42,81.95,72.76,65.80,73.00"
