method,norm,lambda,mean_acc,std_acc,vs_baseline,per_fold_accs
baseline,mixed,1.0,55.20,14.33,+0.00%,"33.89,40.58,66.03,67.14,61.92,63.22,49.29,51.35,73.36,46.00,32.86,76.72"
baseline,per_subject,1.0,70.73,8.86,+0.00%,"71.73,64.69,71.26,67.14,66.31,85.99,71.30,70.19,87.25,53.21,64.57,75.18"
coral,mixed,1.0,64.70,15.21,+9.50%,"33.33,72.76,78.07,66.98,64.41,80.36,68.76,67.22,82.22,41.29,46.63,74.31"
coral,mixed,5.0,64.58,14.90,+9.38%,"33.33,69.12,77.16,68.09,59.86,81.12,66.75,68.33,82.26,40.97,51.50,76.44"
coral,per_subject,0.1,73.50,7.18,+2.76%,"71.93,72.37,70.86,74.82,73.56,84.72,72.88,75.10,88.72,59.26,68.73,69.00"
coral,per_subject,0.5,73.76,6.96,+3.02%,"74.43,69.28,72.01,70.23,72.68,84.09,73.67,78.38,88.88,61.05,69.79,70.59"
coral,per_subject,1.0,73.44,7.75,+2.71%,"75.14,71.81,72.37,69.60,71.77,84.84,72.92,78.07,89.51,57.88,68.88,68.53"
coral,per_subject,2.0,73.59,6.99,+2.86%,"75.61,69.28,70.59,71.89,70.19,84.09,74.19,78.19,89.27,63.66,69.28,66.90"
coral,per_subject,5.0,74.51,6.63,+3.77%,"75.93,69.00,69.36,72.49,70.63,84.20,72.96,78.62,91.01,70.67,69.68,69.52"
coral,per_subject,10.0,73.77,7.86,+3.04%,"75.49,69.75,65.16,82.22,69.20,89.27,76.84,68.49,86.03,69.83,64.73,68.25"
coral,per_subject,20.0,73.65,8.04,+2.92%,"76.92,65.72,64.09,82.62,69.12,89.35,74.58,72.17,85.87,69.60,65.68,68.09"
mmd,mixed,1.0,65.46,13.85,+10.26%,"39.59,68.73,80.09,74.23,69.68,77.51,65.95,64.13,83.69,43.71,47.27,70.90"
mmd,mixed,10.0,66.17,9.81,+10.98%,"55.54,72.53,74.43,75.77,67.14,74.47,59.50,63.90,79.93,49.96,50.32,70.59"
mmd,per_subject,0.1,74.87,6.79,+4.14%,"76.68,71.26,70.51,74.82,73.56,83.61,77.59,79.02,89.15,62.00,69.44,70.86"
mmd,per_subject,0.5,75.28,6.22,+4.54%,"77.59,67.54,70.15,71.38,76.21,83.57,73.12,79.10,89.90,73.44,68.61,72.72"
mmd,per_subject,1.0,76.25,5.99,+5.51%,"77.91,66.51,72.64,74.39,79.22,83.57,75.22,78.35,89.63,75.38,68.33,73.83"
mmd,per_subject,2.0,76.50,5.78,+5.77%,"77.91,70.74,72.80,75.65,79.77,83.57,75.02,78.42,90.34,71.97,68.65,73.20"
mmd,per_subject,5.0,76.73,4.99,+6.00%,"77.67,70.47,73.16,75.42,79.93,81.67,74.78,79.65,88.95,73.56,70.98,74.54"
mmd,per_subject,10.0,76.79,5.85,+6.05%,"76.05,72.64,76.17,76.80,76.13,89.07,82.22,72.25,86.03,70.86,68.65,74.58"
mmd,per_subject,20.0,76.38,5.93,+5.64%,"73.20,74.23,75.30,78.58,81.35,84.64,81.63,69.28,87.13,72.17,68.61,70.39"
dann,mixed,1.0,69.56,10.29,+14.37%,"53.56,66.51,85.31,75.38,63.10,78.03,72.41,65.87,85.99,55.34,59.62,73.63"
dann,mixed,5.0,66.30,14.39,+11.10%,"38.52,72.09,73.20,79.97,77.47,71.73,62.19,60.37,87.29,43.67,52.69,76.41"
dann,per_subject,0.1,72.40,9.01,+1.67%,"74.19,62.98,78.62,69.56,67.22,92.68,74.03,71.85,85.55,61.40,64.49,66.23"
dann,per_subject,0.5,73.31,9.43,+2.58%,"72.88,62.03,72.33,77.36,68.01,95.61,74.58,78.11,85.19,63.86,65.60,64.17"
dann,per_subject,1.0,74.89,9.08,+4.16%,"68.37,69.28,73.75,79.73,71.02,96.16,76.09,76.84,88.60,64.41,68.29,66.15"
dann,per_subject,2.0,74.40,8.55,+3.67%,"74.51,69.20,75.57,81.87,71.97,95.05,73.36,77.71,80.60,63.14,63.58,66.23"
dann,per_subject,5.0,76.17,6.57,+5.43%,"74.43,79.45,72.57,77.63,76.01,89.98,68.33,76.37,85.47,78.46,67.66,67.66"
dann,per_subject,10.0,72.72,9.98,+1.98%,"72.53,75.18,75.26,79.14,67.30,83.81,83.06,68.45,88.44,52.81,68.01,58.63"
dann,per_subject,20.0,69.68,9.94,-1.05%,"71.89,64.45,78.78,73.63,71.06,89.35,71.93,64.45,74.11,47.07,69.87,59.58"
