=== test_sub1  (test_acc=39.59%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      2.1652     68.45%    0.7433    62.83%
    2      1.8219     87.04%    0.5557    78.55%
    3      1.6887     91.98%    0.5975    72.52%
    4      1.5859     95.26%    0.7634    67.44%
    5      1.5773     96.78%    0.6076    70.99%
    6      1.5078     97.77%    0.6480    71.76%
    7      1.4855     98.30%    0.8765    67.66%
    8      1.4916     98.74%    0.8427    67.60%
    9      1.4510     99.07%    0.7097    71.38%
   10      1.4543     99.14%    0.6824    71.47%
   11      1.4491     99.40%    0.9142    66.09%
   12      1.4335     99.55%    1.1510    65.44%
   13      1.4242     99.61%    1.2353    67.06%
   14      1.4190     99.58%    1.2700    67.17%
   15      1.4148     99.65%    1.3945    65.64%
   16      1.4166     99.69%    1.3798    66.20%
   17      1.4158     99.66%    1.3024    65.78%
   18      1.4189     99.66%    1.2695    66.67%
   19      1.4202     99.60%    1.3031    66.29%
   20      1.4206     99.61%    1.2780    66.65%

=== test_sub2  (test_acc=71.06%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      2.1849     66.86%    0.5235    78.29%
    2      1.8224     86.28%    0.4176    80.63%
    3      1.6941     91.41%    0.3594    82.47%
    4      1.6067     94.75%    0.3339    84.14%
    5      1.5479     96.56%    0.2552    87.67%
    6      1.5065     97.42%    0.2126    91.09%
    7      1.4764     98.32%    0.1970    91.20%
    8      1.4555     98.81%    0.1833    92.28%
    9      1.4423     99.16%    0.1626    92.62%
   10      1.4347     99.20%    0.1230    94.92%
   11      1.4257     99.41%    0.1203    95.70%
   12      1.4193     99.56%    0.1207    95.46%
   13      1.4157     99.61%    0.1059    96.31%
   14      1.4139     99.64%    0.1263    95.21%
   15      1.4121     99.65%    0.1075    96.02%
   16      1.4105     99.76%    0.1053    96.29%
   17      1.4090     99.73%    0.1120    95.91%
   18      1.4090     99.76%    0.1070    96.09%
   19      1.4090     99.74%    0.0988    96.40%
   20      1.4087     99.75%    0.1005    96.35%

=== test_sub3  (test_acc=80.56%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      2.1726     66.80%    0.4613    86.25%
    2      1.8324     85.65%    0.2826    91.70%
    3      1.6845     91.23%    0.2001    94.33%
    4      1.6052     94.66%    0.1482    96.71%
    5      1.5490     96.45%    0.1108    97.14%
    6      1.5067     97.66%    0.0844    97.68%
    7      1.4792     98.21%    0.0836    97.70%
    8      1.4604     98.80%    0.0683    97.64%
    9      1.4445     99.10%    0.0565    98.54%
   10      1.4367     99.14%    0.0547    98.27%
   11      1.4280     99.47%    0.0483    98.51%
   12      1.4219     99.52%    0.0432    98.83%
   13      1.4186     99.54%    0.0397    98.51%
   14      1.4169     99.58%    0.0420    98.63%
   15      1.4145     99.63%    0.0350    98.69%
   16      1.4114     99.73%    0.0409    98.72%
   17      1.4110     99.73%    0.0376    98.74%
   18      1.4102     99.70%    0.0296    98.88%
   19      1.4106     99.66%    0.0315    98.97%
   20      1.4106     99.64%    0.0294    98.97%

=== test_sub4  (test_acc=69.75%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      2.1561     67.96%    0.5009    80.00%
    2      1.8269     86.55%    0.3016    90.32%
    3      1.6778     92.05%    0.2238    92.48%
    4      1.5892     95.14%    0.1597    94.89%
    5      1.5400     96.84%    0.1114    97.71%
    6      1.4940     98.16%    0.0818    98.27%
    7      1.4743     98.45%    0.0669    98.47%
    8      1.4561     98.76%    0.0537    99.28%
    9      1.4402     99.23%    0.0469    99.17%
   10      1.4326     99.25%    0.0347    99.50%
   11      1.4289     99.33%    0.0286    99.68%
   12      1.4237     99.47%    0.0263    99.53%
   13      1.4188     99.60%    0.0271    99.53%
   14      1.4153     99.69%    0.0236    99.64%
   15      1.4142     99.69%    0.0228    99.60%
   16      1.4133     99.63%    0.0255    99.44%
   17      1.4116     99.69%    0.0211    99.62%
   18      1.4113     99.67%    0.0208    99.55%
   19      1.4109     99.72%    0.0201    99.62%
   20      1.4098     99.74%    0.0216    99.55%

=== test_sub5  (test_acc=58.47%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      2.1520     68.23%    0.6486    69.08%
    2      1.8084     87.05%    0.5744    72.66%
    3      1.6732     92.41%    0.4625    78.46%
    4      1.5894     95.21%    0.4332    80.04%
    5      1.5336     96.96%    0.4911    77.43%
    6      1.5005     97.91%    0.5492    75.83%
    7      1.4726     98.57%    0.5489    75.83%
    8      1.4565     98.80%    0.7501    70.82%
    9      1.4407     99.24%    0.7310    71.71%
   10      1.4327     99.43%    0.8040    70.75%
   11      1.4263     99.42%    0.8544    69.94%
   12      1.4205     99.59%    0.8173    70.68%
   13      1.4184     99.54%    0.9960    67.21%
   14      1.4142     99.64%    0.9180    68.75%
   15      1.4123     99.71%    0.8474    70.55%
   16      1.4107     99.70%    0.9759    68.34%
   17      1.4101     99.69%    0.9456    68.66%
   18      1.4096     99.71%    1.0380    67.28%
   19      1.4084     99.74%    0.9910    68.05%
   20      1.4077     99.78%    1.0447    67.28%

=== test_sub8  (test_acc=72.57%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      2.1801     66.38%    0.8751    60.24%
    2      1.8365     85.59%    0.7537    66.27%
    3      1.6964     91.74%    0.8071    65.96%
    4      1.6057     94.80%    0.7899    67.73%
    5      1.5486     96.71%    0.8954    65.84%
    6      1.5056     97.66%    0.9099    66.40%
    7      1.4804     98.40%    1.0314    64.70%
    8      1.4623     98.86%    1.0794    63.77%
    9      1.4453     99.12%    1.0852    65.24%
   10      1.4339     99.42%    1.2363    63.07%
   11      1.4301     99.34%    1.2670    63.35%
   12      1.4227     99.54%    1.2102    64.79%
   13      1.4188     99.61%    1.2913    63.53%
   14      1.4153     99.64%    1.2755    64.87%
   15      1.4126     99.71%    1.2718    65.28%
   16      1.4114     99.74%    1.3218    63.64%
   17      1.4103     99.75%    1.2577    66.31%
   18      1.4096     99.75%    1.2589    65.59%
   19      1.4088     99.77%    1.2617    66.13%
   20      1.4098     99.73%    1.2378    66.14%

=== test_sub9  (test_acc=73.28%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      2.1763     66.76%    0.5817    75.16%
    2      1.8241     86.41%    0.4636    79.54%
    3      1.6742     91.81%    0.4437    80.63%
    4      1.5941     94.86%    0.4023    82.78%
    5      1.5474     96.48%    0.3447    84.79%
    6      1.5066     97.50%    0.4626    81.70%
    7      1.4739     98.56%    0.3820    84.43%
    8      1.4592     98.76%    0.4035    84.20%
    9      1.4446     99.12%    0.4993    81.55%
   10      1.4333     99.29%    0.4568    83.12%
   11      1.4292     99.44%    0.3835    85.31%
   12      1.4235     99.54%    0.3971    85.15%
   13      1.4202     99.60%    0.3917    85.66%
   14      1.4162     99.69%    0.4012    85.22%
   15      1.4146     99.68%    0.3704    86.32%
   16      1.4116     99.74%    0.3490    87.04%
   17      1.4107     99.72%    0.3750    86.07%
   18      1.4096     99.74%    0.3200    87.62%
   19      1.4092     99.75%    0.3861    85.80%
   20      1.4086     99.77%    0.3709    86.30%

=== test_sub10  (test_acc=61.44%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      2.1646     67.55%    0.6049    72.70%
    2      1.8213     87.10%    0.5433    77.11%
    3      1.6624     92.65%    0.5532    77.59%
    4      1.5870     95.18%    0.5701    77.81%
    5      1.5315     97.18%    0.5913    78.15%
    6      1.4899     98.32%    0.6378    77.03%
    7      1.4671     98.70%    0.7235    74.89%
    8      1.4497     99.10%    0.5900    77.74%
    9      1.4353     99.35%    0.6204    77.63%
   10      1.4260     99.57%    0.6568    76.87%
   11      1.4208     99.59%    0.6986    76.75%
   12      1.4185     99.54%    0.6450    78.08%
   13      1.4150     99.63%    0.6629    77.95%
   14      1.4124     99.68%    0.6779    77.66%
   15      1.4086     99.84%    0.7570    75.54%
   16      1.4079     99.80%    0.6852    77.93%
   17      1.4074     99.84%    0.6735    77.90%
   18      1.4065     99.79%    0.7207    76.84%
   19      1.4068     99.76%    0.7328    76.91%
   20      1.4067     99.78%    0.7421    76.64%

=== test_sub11  (test_acc=84.88%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      2.1858     66.33%    0.5056    84.14%
    2      1.8351     86.11%    0.3283    89.31%
    3      1.6857     91.32%    0.2149    94.82%
    4      1.6053     94.35%    0.1582    96.92%
    5      1.5531     96.26%    0.1170    98.13%
    6      1.5137     97.53%    0.0830    99.10%
    7      1.4810     98.18%    0.0658    99.50%
    8      1.4608     98.65%    0.0555    99.80%
    9      1.4483     98.88%    0.0465    99.75%
   10      1.4367     99.18%    0.0329    99.86%
   11      1.4269     99.43%    0.0304    99.86%
   12      1.4238     99.50%    0.0318    99.71%
   13      1.4187     99.54%    0.0248    99.84%
   14      1.4175     99.54%    0.0258    99.80%
   15      1.4158     99.60%    0.0275    99.86%
   16      1.4141     99.69%    0.0221    99.87%
