=== test_sub1  (test_acc=72.96%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      2.0067     77.06%    0.3240    91.88%
    2      1.6678     92.95%    0.1570    97.66%
    3      1.5500     97.17%    0.0770    99.87%
    4      1.4907     98.92%    0.0410   100.00%
    5      1.4609     99.55%    0.0250   100.00%
    6      1.4416     99.71%    0.0153   100.00%
    7      1.4274     99.86%    0.0102   100.00%
    8      1.4187     99.89%    0.0076   100.00%
    9      1.4119     99.91%    0.0051   100.00%
   10      1.4060     99.93%    0.0041   100.00%
   11      1.4030     99.93%    0.0033   100.00%
   12      1.3984     99.95%    0.0025   100.00%
   13      1.3957     99.97%    0.0023   100.00%
   14      1.3952     99.97%    0.0018   100.00%
   15      1.3933     99.97%    0.0013   100.00%
   16      1.3917     99.99%    0.0011   100.00%
   17      1.3914     99.99%    0.0010   100.00%
   18      1.3903    100.00%    0.0009   100.00%
   19      1.3902     99.99%    0.0008   100.00%
   20      1.3895    100.00%    0.0006   100.00%
   21      1.3895     99.99%    0.0006   100.00%
   22      1.3892     99.98%    0.0005   100.00%
   23      1.3890     99.99%    0.0004   100.00%
   24      1.3887     99.99%    0.0004   100.00%
   25      1.3888     99.99%    0.0004   100.00%
   26      1.3884     99.99%    0.0003   100.00%
   27      1.3882     99.99%    0.0003   100.00%
   28      1.3878    100.00%    0.0003   100.00%
   29      1.3879    100.00%    0.0003   100.00%
   30      1.3877     99.99%    0.0002   100.00%
   31      1.3880     99.99%    0.0003   100.00%
   32      1.3877    100.00%    0.0002   100.00%
   33      1.3877    100.00%    0.0002   100.00%
   34      1.3876    100.00%    0.0002   100.00%
   35      1.3877    100.00%    0.0002   100.00%
   36      1.3877    100.00%    0.0002   100.00%
   37      1.3875    100.00%    0.0002   100.00%
   38      1.3875    100.00%    0.0002   100.00%
   39      1.3875    100.00%    0.0002   100.00%
   40      1.3874    100.00%    0.0002   100.00%
   41      1.3874    100.00%    0.0002   100.00%
   42      1.3874    100.00%    0.0002   100.00%
   43      1.3874    100.00%    0.0002   100.00%
   44      1.3872    100.00%    0.0002   100.00%
   45      1.3873    100.00%    0.0002   100.00%
   46      1.3872    100.00%    0.0002   100.00%
   47      1.3872    100.00%    0.0002   100.00%
   48      1.3874     99.99%    0.0002   100.00%
   49      1.3873     99.99%    0.0001   100.00%
   50      1.3872    100.00%    0.0002   100.00%

=== test_sub2  (test_acc=65.84%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      1.9959     77.44%    0.3353    91.68%
    2      1.6654     91.93%    0.1660    97.03%
    3      1.5456     96.47%    0.0838    99.71%
    4      1.4957     98.61%    0.0434   100.00%
    5      1.4598     99.37%    0.0252   100.00%
    6      1.4374     99.60%    0.0150   100.00%
    7      1.4283     99.81%    0.0099   100.00%
    8      1.4195     99.81%    0.0073   100.00%
    9      1.4120     99.87%    0.0051   100.00%
   10      1.4069     99.94%    0.0038   100.00%
   11      1.4023     99.94%    0.0031   100.00%
   12      1.3991     99.91%    0.0026   100.00%
   13      1.3965     99.96%    0.0017   100.00%
   14      1.3945     99.97%    0.0014   100.00%
   15      1.3931     99.98%    0.0013   100.00%
   16      1.3920     99.99%    0.0011   100.00%
   17      1.3913     99.96%    0.0009   100.00%
   18      1.3908     99.98%    0.0008   100.00%
   19      1.3904     99.97%    0.0007   100.00%
   20      1.3897     99.98%    0.0006   100.00%
   21      1.3891     99.99%    0.0004   100.00%
   22      1.3888     99.99%    0.0004   100.00%
   23      1.3891     99.98%    0.0004   100.00%
   24      1.3892     99.96%    0.0004   100.00%
   25      1.3884     99.98%    0.0003   100.00%
   26      1.3886     99.98%    0.0003   100.00%
   27      1.3883    100.00%    0.0003   100.00%
   28      1.3882     99.98%    0.0002   100.00%
   29      1.3883     99.98%    0.0003   100.00%
   30      1.3885     99.97%    0.0002   100.00%
   31      1.3877    100.00%    0.0002   100.00%
   32      1.3875    100.00%    0.0002   100.00%
   33      1.3877    100.00%    0.0002   100.00%
   34      1.3876    100.00%    0.0002   100.00%
   35      1.3877     99.99%    0.0002   100.00%
   36      1.3875    100.00%    0.0002   100.00%
   37      1.3874    100.00%    0.0001   100.00%
