=== test_sub1  (avg_test_acc=37.08%) ===
--- Inner 1/5  val_subjects=[2, 3]  test_acc=33.17% ---
Epoch  Train_Loss   Val_Acc
    1      0.3219    51.11%
    2      0.0956    56.53%
    3      0.0523    57.46%
    4      0.0391    57.32%
    5      0.0256    60.39%
    6      0.0317    60.02%
    7      0.0233    61.92%
    8      0.0148    57.44%
    9      0.0199    55.48%
   10      0.0231    64.55%
   11      0.0139    60.93%
   12      0.0122    59.56%
   13      0.0147    58.10%
   14      0.0052    61.40%
   15      0.0112    57.54%
   16      0.0265    62.23%
   17      0.0048    59.78%
   18      0.0089    61.64%
   19      0.0131    62.25%
   20      0.0118    64.51%
   21      0.0098    62.33%
   22      0.0079    59.62%
   23      0.0159    60.65%
   24      0.0073    62.69%
   25      0.0093    57.60%
   26      0.0129    62.47%
   27      0.0063    59.92%
   28      0.0032    56.45%
   29      0.0073    59.72%
   30      0.0177    57.66%

--- Inner 2/5  val_subjects=[4, 5]  test_acc=35.87% ---
Epoch  Train_Loss   Val_Acc
    1      0.3180    60.17%
    2      0.0885    60.43%
    3      0.0525    60.93%
    4      0.0327    60.13%
    5      0.0238    60.87%
    6      0.0228    61.44%
    7      0.0187    61.62%
    8      0.0146    62.23%
    9      0.0200    57.98%
   10      0.0155    55.34%
   11      0.0131    59.22%
   12      0.0116    61.50%
   13      0.0079    59.62%
   14      0.0147    60.31%
   15      0.0150    60.45%
   16      0.0115    58.17%
   17      0.0072    55.42%
   18      0.0176    55.48%
   19      0.0046    61.30%
   20      0.0034    61.82%
   21      0.0038    61.24%
   22      0.0078    60.53%
   23      0.0184    60.29%
   24      0.0157    56.81%
   25      0.0109    60.99%
   26      0.0038    60.61%
   27      0.0058    56.27%
   28      0.0068    57.30%

--- Inner 3/5  val_subjects=[8, 9]  test_acc=44.58% ---
Epoch  Train_Loss   Val_Acc
    1      0.3170    64.05%
    2      0.0845    59.82%
    3      0.0485    57.86%
    4      0.0307    53.64%
    5      0.0267    57.32%
    6      0.0219    55.66%
    7      0.0211    59.16%
    8      0.0238    58.83%
    9      0.0123    55.84%
   10      0.0134    56.63%
   11      0.0138    57.76%
   12      0.0099    58.57%
   13      0.0134    54.49%
   14      0.0098    57.88%
   15      0.0161    55.80%
   16      0.0126    56.29%
   17      0.0052    57.94%
   18      0.0029    57.74%
   19      0.0098    56.00%
   20      0.0200    58.45%
   21      0.0095    56.35%

--- Inner 4/5  val_subjects=[10, 11]  test_acc=38.60% ---
Epoch  Train_Loss   Val_Acc
    1      0.2958    63.84%
    2      0.0744    65.32%
    3      0.0369    60.57%
    4      0.0445    58.27%
    5      0.0205    59.40%
    6      0.0163    59.18%
    7      0.0193    57.80%
    8      0.0248    57.36%
    9      0.0085    58.73%
   10      0.0185    62.98%
   11      0.0133    55.66%
   12      0.0263    56.73%
   13      0.0102    58.02%
   14      0.0111    57.19%
   15      0.0111    61.34%
   16      0.0091    61.40%
   17      0.0059    55.03%
   18      0.0073    59.54%
   19      0.0024    58.93%
   20      0.0040    56.77%
   21      0.0229    61.32%
   22      0.0124    60.99%

--- Inner 5/5  val_subjects=[12, 13]  test_acc=33.17% ---
Epoch  Train_Loss   Val_Acc
    1      0.2766    42.36%
    2      0.0748    38.06%
    3      0.0350    34.66%
    4      0.0393    35.33%
    5      0.0270    36.92%
    6      0.0225    37.41%
    7      0.0238    38.48%
    8      0.0146    37.63%
    9      0.0138    36.10%
   10      0.0119    39.25%
   11      0.0106    36.80%
   12      0.0134    37.57%
   13      0.0199    40.18%
   14      0.0095    37.93%
   15      0.0087    38.44%
   16      0.0069    38.34%
   17      0.0115    39.81%
   18      0.0040    38.30%
   19      0.0195    41.17%
   20      0.0111    36.74%
   21      0.0060    40.34%

