=== test_sub1  (test_acc=41.73%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.4876     83.87%    0.5676    75.41%
    2      0.1907     96.16%    0.4414    82.49%
    3      0.1337     97.95%    0.4483    83.73%
    4      0.1135     98.52%    0.4303    83.53%
    5      0.0964     99.17%    0.4661    83.03%
    6      0.0934     99.19%    0.6301    79.27%
    7      0.0910     99.31%    0.4477    83.60%
    8      0.0843     99.48%    0.5270    82.06%
    9      0.0806     99.63%    0.5034    83.26%
   10      0.0881     99.27%    0.6196    80.11%
   11      0.0800     99.60%    0.4656    83.33%
   12      0.0776     99.61%    0.5120    82.06%
   13      0.0727     99.83%    0.5039    83.10%
   14      0.0754     99.70%    0.4016    85.96%
   15      0.0725     99.78%    0.5701    82.18%
   16      0.0695     99.89%    0.5650    82.51%
   17      0.0761     99.64%    0.5617    83.14%
   18      0.0702     99.82%    0.6611    80.18%
   19      0.0693     99.86%    0.6285    80.53%
   20      0.0676     99.90%    0.6396    80.45%
   21      0.0643     99.98%    0.6042    81.10%
   22      0.0652     99.94%    0.6553    81.25%
   23      0.0633     99.98%    0.6196    80.85%
   24      0.0642     99.94%    0.6052    80.90%
   25      0.0624     99.99%    0.6636    79.30%
   26      0.0618    100.00%    0.6158    79.75%
   27      0.0610     99.98%    0.5660    81.55%
   28      0.0618     99.97%    0.7580    77.65%
   29      0.0616     99.96%    0.6982    79.12%
   30      0.0609     99.98%    0.7914    77.52%
   31      0.0605     99.98%    0.7073    78.28%
   32      0.0595     99.98%    0.6898    78.94%
   33      0.0592     99.98%    0.7563    78.17%
   34      0.0591     99.99%    0.6997    78.33%
   35      0.0587     99.99%    0.6545    79.86%
   36      0.0587     99.99%    0.6803    78.98%
   37      0.0580    100.00%    0.6643    79.43%
   38      0.0582     99.99%    0.6150    80.24%
   39      0.0578     99.99%    0.6066    79.64%
   40      0.0575     99.99%    0.6884    78.64%
   41      0.0573    100.00%    0.7049    78.08%
   42      0.0570    100.00%    0.6335    79.75%
   43      0.0567    100.00%    0.6934    78.11%
   44      0.0578     99.98%    0.6288    79.68%
   45      0.0572    100.00%    0.7162    78.17%
   46      0.0569     99.99%    0.7005    78.26%
   47      0.0569    100.00%    0.7476    77.27%
   48      0.0566    100.00%    0.6235    80.04%
   49      0.0572    100.00%    0.6812    78.82%
   50      0.0565    100.00%    0.6287    79.86%

=== test_sub2  (test_acc=72.41%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.4972     83.04%    0.3652    83.62%
    2      0.2077     95.35%    0.2216    90.42%
    3      0.1377     97.92%    0.1882    91.59%
    4      0.1133     98.61%    0.2514    89.90%
    5      0.1069     98.86%    0.2055    92.22%
    6      0.0939     99.22%    0.1494    93.77%
    7      0.0896     99.44%    0.1062    95.46%
    8      0.0854     99.46%    0.1105    95.55%
    9      0.0863     99.41%    0.1566    93.83%
   10      0.0837     99.45%    0.1377    94.40%
   11      0.0825     99.51%    0.1449    95.12%
   12      0.0763     99.71%    0.1264    94.33%
   13      0.0729     99.81%    0.1315    95.28%
   14      0.0712     99.89%    0.0944    96.44%
   15      0.0740     99.73%    0.2266    91.77%
   16      0.0737     99.75%    0.1435    94.46%
   17      0.0762     99.59%    0.1041    95.77%
   18      0.0735     99.73%    0.0656    97.71%
   19      0.0690     99.86%    0.0633    97.62%
   20      0.0671     99.91%    0.0530    98.07%
   21      0.0674     99.88%    0.0673    97.16%
   22      0.0663     99.91%    0.0694    97.37%
   23      0.0660     99.91%    0.0742    97.05%
   24      0.0644     99.96%    0.0543    97.66%
