=== test_sub1  (test_acc=78.54%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.3415     91.02%    0.0336    99.89%
    2      0.1044     99.37%    0.0071   100.00%
    3      0.0852     99.73%    0.0019   100.00%
    4      0.0746     99.97%    0.0012   100.00%
    5      0.0739     99.93%    0.0010   100.00%
    6      0.0721     99.94%    0.0006   100.00%
    7      0.0714     99.94%    0.0006   100.00%
    8      0.0713     99.92%    0.0019   100.00%
    9      0.0747     99.73%    0.0046    99.82%
   10      0.0698     99.94%    0.0004   100.00%
   11      0.0682     99.98%    0.0003   100.00%
   12      0.0663    100.00%    0.0003   100.00%
   13      0.0659    100.00%    0.0003   100.00%
   14      0.0654    100.00%    0.0003   100.00%
   15      0.0652    100.00%    0.0003   100.00%
   16      0.0646    100.00%    0.0003   100.00%
   17      0.0647     99.99%    0.0003   100.00%
   18      0.0645    100.00%    0.0003   100.00%
   19      0.0639    100.00%    0.0003   100.00%
   20      0.0642     99.99%    0.0003   100.00%

=== test_sub2  (test_acc=68.33%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.3663     89.61%    0.0554    99.08%
    2      0.1134     99.20%    0.0065   100.00%
    3      0.0848     99.82%    0.0027   100.00%
    4      0.0776     99.84%    0.0012   100.00%
    5      0.0760     99.86%    0.0017   100.00%
    6      0.0803     99.68%    0.0008   100.00%
    7      0.0745     99.82%    0.0020   100.00%
    8      0.0719     99.96%    0.0004   100.00%
    9      0.0687     99.99%    0.0003   100.00%
   10      0.0678    100.00%    0.0003   100.00%
   11      0.0679     99.99%    0.0003   100.00%
   12      0.0667     99.99%    0.0003   100.00%
   13      0.0668     99.98%    0.0003   100.00%
   14      0.0659     99.99%    0.0003   100.00%
   15      0.0656    100.00%    0.0003   100.00%
   16      0.0658    100.00%    0.0003   100.00%
   17      0.0648    100.00%    0.0003   100.00%
   18      0.0643    100.00%    0.0003   100.00%
   19      0.0653    100.00%    0.0003   100.00%
   20      0.0654     99.99%    0.0003   100.00%

=== test_sub3  (test_acc=69.00%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.3481     90.35%    0.0419    99.84%
    2      0.1058     99.41%    0.0090    99.93%
    3      0.0871     99.60%    0.0024   100.00%
    4      0.0771     99.85%    0.0086    99.78%
    5      0.0769     99.82%    0.0008   100.00%
    6      0.0729     99.92%    0.0011   100.00%
    7      0.0715     99.93%    0.0006   100.00%
    8      0.0708     99.95%    0.0005   100.00%
    9      0.0699     99.96%    0.0004   100.00%
   10      0.0684    100.00%    0.0004   100.00%
   11      0.0669    100.00%    0.0003   100.00%
   12      0.0661     99.98%    0.0003   100.00%
   13      0.0654     99.99%    0.0003   100.00%
   14      0.0653     99.99%    0.0003   100.00%
   15      0.0654     99.98%    0.0003   100.00%
   16      0.0645     99.98%    0.0003   100.00%
   17      0.0646    100.00%    0.0003   100.00%
   18      0.0643     99.99%    0.0002   100.00%
   19      0.0643    100.00%    0.0002   100.00%
   20      0.0638    100.00%    0.0003   100.00%

=== test_sub4  (test_acc=79.81%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.3523     90.62%    0.0406    99.84%
    2      0.1072     99.37%    0.0064   100.00%
    3      0.0842     99.78%    0.0021   100.00%
    4      0.0779     99.83%    0.0014   100.00%
    5      0.0777     99.78%    0.0014   100.00%
    6      0.0746     99.85%    0.0006   100.00%
    7      0.0721     99.91%    0.0004   100.00%
    8      0.0696     99.96%    0.0005   100.00%
    9      0.0693     99.98%    0.0003   100.00%
   10      0.0682     99.98%    0.0003   100.00%
   11      0.0679     99.97%    0.0005   100.00%
   12      0.0665    100.00%    0.0003   100.00%
   13      0.0660     99.99%    0.0003   100.00%
   14      0.0657     99.99%    0.0003   100.00%
   15      0.0656    100.00%    0.0003   100.00%
   16      0.0646     99.99%    0.0003   100.00%
   17      0.0643    100.00%    0.0003   100.00%
   18      0.0649    100.00%    0.0003   100.00%
   19      0.0641    100.00%    0.0003   100.00%
   20      0.0640    100.00%    0.0003   100.00%

=== test_sub5  (test_acc=70.03%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.3534     90.08%    0.0440    99.48%
    2      0.1089     99.29%    0.0055   100.00%
    3      0.0861     99.69%    0.0048   100.00%
    4      0.0827     99.68%    0.0021   100.00%
    5      0.0737     99.93%    0.0011   100.00%
    6      0.0723     99.94%    0.0007   100.00%
    7      0.0708     99.96%    0.0005   100.00%
    8      0.0697     99.96%    0.0005   100.00%
    9      0.0706     99.94%    0.0014   100.00%
   10      0.0685     99.96%    0.0003   100.00%
   11      0.0673     99.98%    0.0003   100.00%
   12      0.0669     99.98%    0.0003   100.00%
   13      0.0662    100.00%    0.0004   100.00%
   14      0.0655    100.00%    0.0003   100.00%
   15      0.0650     99.99%    0.0003   100.00%
   16      0.0649    100.00%    0.0003   100.00%
   17      0.0645    100.00%    0.0003   100.00%
   18      0.0647    100.00%    0.0003   100.00%
   19      0.0644     99.99%    0.0003   100.00%
   20      0.0646     99.99%    0.0003   100.00%

=== test_sub8  (test_acc=91.33%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.3631     90.26%    0.0415    99.87%
    2      0.1086     99.35%    0.0058   100.00%
    3      0.0837     99.80%    0.0039   100.00%
    4      0.0825     99.69%    0.0015   100.00%
    5      0.0749     99.87%    0.0010   100.00%
    6      0.0740     99.88%    0.0010   100.00%
    7      0.0726     99.92%    0.0004   100.00%
    8      0.0712     99.93%    0.0006   100.00%
    9      0.0712     99.92%    0.0003   100.00%
   10      0.0695     99.97%    0.0003   100.00%
   11      0.0676     99.99%    0.0003   100.00%
   12      0.0672    100.00%    0.0002   100.00%
   13      0.0671     99.98%    0.0003   100.00%
   14      0.0660    100.00%    0.0003   100.00%
   15      0.0657     99.99%    0.0002   100.00%
   16      0.0653    100.00%    0.0002   100.00%
   17      0.0647    100.00%    0.0003   100.00%
   18      0.0647    100.00%    0.0002   100.00%
   19      0.0650    100.00%    0.0002   100.00%
   20      0.0649    100.00%    0.0002   100.00%

=== test_sub9  (test_acc=77.99%) ===
Epoch  Train_Loss  Train_Acc  Val_Loss   Val_Acc
    1      0.3615     89.77%    0.0423    99.71%
    2      0.1117     99.17%    0.0065   100.00%
    3      0.0850     99.78%    0.0017   100.00%
    4      0.0775     99.88%    0.0007   100.00%
    5      0.0735     99.91%    0.0008   100.00%
    6      0.0805     99.69%    0.0009   100.00%
    7      0.0725     99.93%    0.0005   100.00%
    8      0.0709     99.94%    0.0002   100.00%
